
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Mar 31,boxscore,SFG,@,ARI,W,9,8,,1-0,1,Tied,Machi,Reed,Romo,3:25,N,48541,+
2,2,Tuesday Apr 1,boxscore,SFG,@,ARI,L,4,5,,1-1,2,1.0,Miley,Gutierrez,Reed,2:46,N,18974,-
3,3,Wednesday Apr 2,boxscore,SFG,@,ARI,W,2,0,,2-1,2,1.0,Hudson,Cahill,Romo,2:49,N,19357,+
4,4,Thursday Apr 3,boxscore,SFG,@,ARI,W,8,5,,3-1,2,0.5,Machi,Harris,,3:11,D,19131,++
5,5,Friday Apr 4,boxscore,SFG,@,LAD,W,8,4,,4-1,1,up 0.5,Huff,Ryu,,3:25,D,53493,+++
6,6,Saturday Apr 5,boxscore,SFG,@,LAD,W,7,2,,5-1,1,up 1.5,Bumgarner,Maholm,,3:42,D,49520,++++
7,7,Sunday Apr 6,boxscore,SFG,@,LAD,L,2,6,,5-2,1,up 0.5,Greinke,Cain,,2:51,N,48367,-
8,8,Tuesday Apr 8,boxscore,SFG,,ARI,W,7,3,,6-2,1,up 0.5,Hudson,Cahill,,2:39,D,42166,+
9,9,Wednesday Apr 9,boxscore,SFG,,ARI,L,3,7,,6-3,1,up 0.5,Arroyo,Lincecum,Collmenter,2:52,N,41157,-
10,10,Thursday Apr 10,boxscore,SFG,,ARI,L,5,6,10,6-4,1,Tied,Putz,Petit,Reed,4:10,N,41577,--
11,11,Friday Apr 11,boxscore,SFG,,COL,W,6,5,,7-4,1,Tied,Bumgarner,De La Rosa,Romo,3:16,N,41707,+
12,12,Saturday Apr 12,boxscore,SFG,,COL,L,0,1,,7-5,2,1.0,Kahnle,Cain,Hawkins,2:48,D,41917,-
13,13,Sunday Apr 13,boxscore,SFG,,COL,W-wo,5,4,10,8-5,2,1.0,Romo,Brothers,,2:41,D,41490,+
14,14,Tuesday Apr 15,boxscore,SFG,,LAD,W-wo,3,2,12,9-5,1,Tied,Petit,League,,4:54,N,42469,++
15,15,Wednesday Apr 16,boxscore,SFG,,LAD,W,2,1,,10-5,1,up 1.0,Machi,Howell,Romo,2:53,N,42773,+++
16,16,Thursday Apr 17,boxscore,SFG,,LAD,L,1,2,,10-6,1,Tied,Ryu,Bumgarner,Jansen,3:08,D,42890,-
17,17,Friday Apr 18,boxscore,SFG,@,SDP,L,1,2,,10-7,1,Tied,Ross,Cain,Street,2:35,N,34839,--
18,18,Saturday Apr 19,boxscore,SFG,@,SDP,L,1,3,,10-8,2,1.0,Stults,Hudson,Benoit,2:36,N,43405,---
19,19,Sunday Apr 20,boxscore,SFG,@,SDP,W,4,3,,11-8,2,1.0,Lincecum,Erlin,Romo,2:59,D,25035,+
20,20,Monday Apr 21,boxscore,SFG,@,COL,L,2,8,,11-9,2,1.0,De La Rosa,Vogelsong,,3:13,N,25434,-
21,21,Tuesday Apr 22,boxscore,SFG,@,COL,L,1,2,,11-10,3,1.0,Morales,Bumgarner,Hawkins,2:41,N,27165,--
22,22,Wednesday Apr 23,boxscore,SFG,@,COL,W,12,10,11,12-10,2,1.0,Machi,Bettis,,4:26,D,35191,+
23,23,Friday Apr 25,boxscore,SFG,,CLE,W,5,1,,13-10,1,up 0.5,Hudson,Carrasco,,2:42,N,41296,++
24,24,Saturday Apr 26,boxscore,SFG,,CLE,W,5,3,,14-10,1,up 0.5,Gutierrez,McAllister,Romo,2:47,D,42088,+++
25,25,Sunday Apr 27,boxscore,SFG,,CLE,W-wo,4,1,,15-10,1,up 1.5,Romo,Allen,,2:43,D,41530,++++
26,26,Monday Apr 28,boxscore,SFG,,SDP,L,4,6,,15-11,1,up 0.5,Ross,Bumgarner,Street,3:29,N,41533,-
27,27,Tuesday Apr 29,boxscore,SFG,,SDP,W,6,0,,16-11,1,up 0.5,Petit,Stults,,2:28,N,41952,+
28,28,Wednesday Apr 30,boxscore,SFG,,SDP,W,3,2,,17-11,1,up 1.5,Hudson,Erlin,Romo,2:17,N,42164,++
29,29,Friday May 2,boxscore,SFG,@,ATL,W,2,1,,18-11,1,up 1.0,Lincecum,Minor,Romo,3:08,N,29469,+++
30,30,Saturday May 3,boxscore,SFG,@,ATL,W,3,1,,19-11,1,up 1.0,Vogelsong,Teheran,Romo,2:51,N,34648,++++
31,31,Sunday May 4,boxscore,SFG,@,ATL,W,4,1,,20-11,1,up 2.0,Bumgarner,Wood,Casilla,3:15,D,30067,+++++
32,32,Monday May 5,boxscore,SFG,@,PIT,W,11,10,13,21-11,1,up 2.0,Machi,Hughes,Romo,5:29,N,13675,++++++
33,33,Tuesday May 6,boxscore,SFG,@,PIT,L-wo,1,2,,21-12,1,up 1.0,Watson,Hudson,,2:41,N,18881,-
34,34,Wednesday May 7,boxscore,SFG,@,PIT,L,3,4,,21-13,1,Tied,Cole,Lincecum,Melancon,2:47,D,23975,--
35,35,Thursday May 8,boxscore,SFG,@,LAD,W,3,1,10,22-13,1,up 1.0,Casilla,Howell,Romo,3:47,N,43068,+
36,36,Friday May 9,boxscore,SFG,@,LAD,W,3,1,,23-13,1,up 2.0,Bumgarner,Maholm,Romo,2:57,N,49171,++
37,37,Saturday May 10,boxscore,SFG,@,LAD,L,2,6,,23-14,1,up 1.0,Greinke,Affeldt,,3:22,D,47199,-
38,38,Sunday May 11,boxscore,SFG,@,LAD,W,7,4,10,24-14,1,up 2.0,Romo,Jansen,Machi,3:54,D,51369,+
39,39,Monday May 12,boxscore,SFG,,ATL,W,4,2,,25-14,1,up 2.5,Lincecum,Floyd,Romo,2:43,N,41438,++
40,40,Tuesday May 13,boxscore,SFG,,ATL,L,0,5,,25-15,1,up 2.5,Minor,Vogelsong,,2:51,N,41506,-
41,41,Wednesday May 14,boxscore,SFG,,ATL,W,10,4,,26-15,1,up 3.5,Bumgarner,Teheran,,3:18,D,41253,+
42,42,Thursday May 15,boxscore,SFG,,MIA,W,6,4,,27-15,1,up 4.0,Cain,Eovaldi,Romo,2:53,N,41597,++
43,43,Friday May 16,boxscore,SFG,,MIA,L,5,7,,27-16,1,up 3.0,Dunn,Casilla,Cishek,3:17,N,41819,-
44,44,Saturday May 17,boxscore,SFG,,MIA,L,0,5,,27-17,1,up 3.0,Koehler,Lincecum,Cishek,2:57,N,41619,--
45,45,Sunday May 18,boxscore,SFG,,MIA,W,4,1,,28-17,1,up 3.0,Vogelsong,Turner,Romo,3:04,D,41551,+
